Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
91,25,False,2.52,False,True
92,25,False,2.52,False,True
93,25,False,2.42,True,False
94,25,False,2.47,False,True
95,25,False,2.47,False,True
96,25,False,2.47,True,False
97,25,False,2.47,False,True
98,25,False,2.47,False,True
99,25,False,2.47,False,True
100,25,False,2.47,False,True
101,25,False,2.47,False,True
102,25,False,2.42,True,False
103,25,False,2.47,False,True
104,25,False,2.47,False,True
105,25,False,2.42,True,False
106,25,False,2.47,False,True
107,25,False,2.47,False,True
108,25,False,2.47,False,True
109,25,False,2.47,False,True
110,25,False,2.52,False,True
111,25,False,4.33,True,False
112,25,False,2.47,False,True
113,25,False,2.42,False,True
114,25,False,2.47,False,True
115,25,False,2.47,True,False
116,25,False,4.28,False,True
117,25,False,2.52,True,False
118,25,False,2.47,False,True
119,25,False,2.47,False,True
120,25,False,2.47,False,True
