Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
1,10,True,2.47,False,True
2,10,True,2.47,False,True
3,10,True,2.47,False,True
4,10,True,2.52,False,True
5,10,True,2.52,True,True
6,10,True,4.31,False,True
7,10,True,2.47,False,True
8,10,True,2.47,False,True
9,10,True,2.47,False,True
10,10,True,2.47,False,True
11,10,True,2.52,False,True
12,10,True,2.52,True,True
13,10,True,4.37,False,True
14,10,True,2.47,False,True
15,10,True,2.52,True,True
16,10,True,5.23,False,True
17,10,True,2.52,True,True
18,10,True,2.47,False,True
19,10,True,2.47,False,True
20,10,True,2.47,False,True
21,10,True,2.47,False,True
22,10,True,2.47,False,True
23,10,True,2.47,False,True
24,10,True,2.52,False,True
25,10,True,2.47,False,True
26,10,True,2.47,False,True
27,10,True,4.31,False,True
28,10,True,2.47,False,True
29,10,True,2.47,False,True
30,10,True,2.52,True,True
