Run Number,Problem Rate,Replan,Runtime (s),Had Failure,Successful Termination
151,50,False,2.42,False,True
152,50,False,2.42,False,True
153,50,False,2.17,True,False
154,50,False,2.47,True,False
155,50,False,4.47,True,False
156,50,False,2.47,False,True
157,50,False,2.47,True,False
158,50,False,2.42,True,False
159,50,False,2.42,True,False
160,50,False,2.47,True,False
161,50,False,2.47,True,False
162,50,False,2.47,False,True
163,50,False,2.47,True,False
164,50,False,2.47,True,False
165,50,False,2.47,False,True
166,50,False,2.42,True,False
167,50,False,2.47,False,True
168,50,False,2.52,True,False
169,50,False,2.47,False,True
170,50,False,2.52,True,False
171,50,False,2.47,True,False
172,50,False,2.47,False,True
173,50,False,2.47,False,True
174,50,False,2.47,False,True
175,50,False,2.47,False,True
176,50,False,2.47,False,True
177,50,False,4.39,True,False
178,50,False,2.47,False,True
179,50,False,2.42,False,True
180,50,False,2.47,False,True
